Del Norte County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),327,323,421,355,322,309,384,302,261,264,261.8158329,289.4307165,333.7287939,217.4697828,228.322094,255.9369777
Violent Offenses,162,156,206,151,128,131,165,128,128,105,86.59476505,86.2457088,90.96133144,68.17249069,62.74071115,62.3916549
Property Offenses,55,65,78,65,52,39,61,70,40,46,23.28357082,15.35244193,7.701809415,24.50575382,16.30113846,8.370009577
Drug Offenses,49,33,42,43,20,18,38,27,35,19,3.044340904,0,0,2.537486233,0,0
Sex Offenses,5,2,5,7,6,8,11,8,8,13,12.11319277,12.84525633,13.63061439,14.94130846,15.62013726,16.35220081
Other Offenses,56,67,90,89,116,113,109,69,50,81,77.0270401,75.35085132,74.05846449,80.93507934,78.87678807,77.2005993
Misdemeanor,"1,064","1,021","1,250","1,525","1,330",958,879,"1,041",927,923,669.3763762,542.7502758,404.1311367,660.6259912,546.1348024,419.5087021
Status Offenses,4,4,4,0,0,0,0,0,1,1,0,0,0,0,0,0
Total Felonies per 1000 population,12.07622424,11.84364916,15.46827351,12.86045501,11.62832689,11.1891657,13.9226279,11.28634427,9.822739076,9.774519605,11.94726668,14.7204389,18.54439114,8.708632743,10.42488079,13.198053
Violent Offenses per 1000 population,5.982716596,5.720152537,7.568798912,5.470221707,4.622440504,4.743626883,5.982379174,4.783616115,4.817281999,3.887593025,3.057341926,2.922533924,2.940359698,2.499015803,2.211141193,2.076333191
Property Offenses per 1000 population,2.031169215,2.383396891,2.865855899,2.354731198,1.877866455,1.412224797,2.211667452,2.616040063,1.505400625,1.703135992,0.8794206985,0.5878886062,0.3048879189,0.9389594766,0.6391621847,0.3476300924
Drug Offenses per 1000 population,1.809587119,1.210032268,1.543153176,1.557745254,0.7222563288,0.6517960603,1.377760052,1.009044024,1.317225547,0.703469214,0.1231159322,0,0,0.1072407639,0,0
Sex Offenses per 1000 population,0.1846517468,0.07333528894,0.1837087115,0.2535864367,0.2166768986,0.2896871379,0.3988252783,0.2989760072,0.3010801249,0.4813210411,0.4506600176,0.4786427139,0.5085615046,0.5557772644,0.5818254844,0.6098081807
Other Offenses per 1000 population,2.068099564,2.45673218,3.306756806,3.22417041,4.189086707,4.091830823,3.951995939,2.578668062,1.881750781,2.999000333,2.855815597,2.802305794,2.763381208,3.009081516,2.941043366,2.887533563
Misdemeanors per 1000 population,39.29389172,37.437665,45.92717787,55.24561658,48.03004586,34.69003476,31.86976542,38.90425293,34.88765948,34.17379392,24.86949407,20.14927873,14.94601334,24.86683631,20.63514797,15.91493263
Status Offenses per 1000 population,0.1477213974,0.1466705779,0.1469669692,0,0,0,0,0,0.03763501562,0.03702469547,0,0,0,0,0,0