Fresno County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"11,263","9,802","9,235","9,960","7,814","9,097","9,795","9,093","10,633","10,840",10259.88175,10382.41001,10494.60144,10158.61046,10291.3398,10413.86806
Violent Offenses,"4,220","4,183","3,915","4,316","3,471","3,830","3,409","3,322","3,985","4,115",3981.772928,4061.023164,4139.290622,3699.884574,3779.956768,3859.207004
Property Offenses,"2,185","2,032","2,021","1,962","1,419","1,684","1,357","1,406","1,695","1,866",1624.870624,1652.312236,1683.366304,1352.12339,1375.832577,1403.274189
Drug Offenses,916,713,453,555,403,450,405,266,419,241,196.8896696,154.3530352,106.259922,0,0,0
Sex Offenses,199,182,227,228,194,234,164,170,207,165,171.8250268,166.2902425,160.2253349,163.0020022,158.0007117,152.4659274
Other Offenses,"3,743","2,692","2,619","2,899","2,327","2,899","4,460","3,929","4,327","4,453",4302.553103,4380.740278,4455.761686,4950.22385,5031.705576,5109.892751
Misdemeanor,"27,760","25,961","26,093","28,736","23,679","18,564","16,115","14,695","17,865","17,587",11826.92713,9870.469796,7732.994074,7563.876314,5789.328121,3832.870788
Status Offenses,120,83,75,38,47,33,9,33,33,21,3.07532342,0,0,0,0,0
Total Felonies per 1000 population,11.57665797,9.991692278,9.325701775,9.983851421,7.775704655,9.010383186,9.67045422,8.940062353,10.42554214,10.58464543,9.878874249,9.945361746,9.999563181,9.600013077,9.678652166,9.745139663
Violent Offenses per 1000 population,4.337520788,4.263951112,3.953451267,4.326335616,3.453989104,3.793532769,3.365653745,3.266126376,3.907249639,4.018064201,3.835355972,3.892906226,3.948868919,3.48526308,3.544240346,3.601790599
Property Offenses per 1000 population,2.245849034,2.071324088,2.0408493,1.966698443,1.412045675,1.667965844,1.339745419,1.382352103,1.661929269,1.822043208,1.556029954,1.573416115,1.594224365,1.251004632,1.264848451,1.282234612
Drug Offenses per 1000 population,0.9415092517,0.7267982651,0.4574491504,0.5563290701,0.4010249521,0.4457153385,0.3998503276,0.2615260735,0.4108249935,0.2353228366,0.184635363,0.140465444,0.09060837307,0,0,0
Sex Offenses per 1000 population,0.2045418571,0.1855221378,0.229229486,0.2285459964,0.1930492325,0.231771976,0.1619147006,0.1671407236,0.2029612736,0.1611131454,0.1649136093,0.1584320865,0.1514241875,0.1529074782,0.1469555806,0.1404740578
Other Offenses per 1000 population,3.84723704,2.744096675,2.644722572,2.905942296,2.315595691,2.871397258,4.403290028,3.862917078,4.242576961,4.348102038,4.159099682,4.218213888,4.273944312,4.739600243,4.802224671,4.861338877
Misdemeanors per 1000 population,28.53307514,26.4634078,26.34927303,28.8048147,23.56295246,18.38724343,15.9100939,14.44784079,17.51644035,17.17270841,11.00046348,8.894854686,6.600989652,6.387547123,4.471131622,2.365522831
Status Offenses per 1000 population,0.1233418234,0.08460624965,0.07573661431,0.0380909994,0.04676965943,0.03268579149,0.008885562836,0.032444964,0.03235614507,0.02050530941,0.001534747577,0,0,0,0,0