Glenn County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),288,321,265,293,288,251,84,75,91,116,99.70410435,95.39858852,90.797452,0,0,0
Violent Offenses,113,130,104,100,98,74,26,20,28,50,31.89289082,31.47396159,31.32114737,0,0,0
Property Offenses,56,64,47,47,45,33,10,11,10,7,0.2030046723,0,0,0,0,0
Drug Offenses,30,36,18,23,21,17,6,8,8,7,6.333902715,5.352389228,4.060971079,0,0,0
Sex Offenses,4,7,3,6,12,9,0,5,3,2,7.04524917,7.909695359,8.72810445,4.585513225,5.494549893,6.358996082
Other Offenses,85,84,93,117,112,118,42,31,42,50,53.67499705,53.14561917,52.50691802,25.66794957,25.23992158,24.7105437
Misdemeanor,664,883,805,"1,018","1,038",777,337,342,411,480,460.6782542,449.0372698,435.399085,231.3051249,221.6054309,209.9644465
Status Offenses,18,8,10,5,2,5,3,0,4,0,0,0,0,0,0,0
Total Felonies per 1000 population,10.2765388,11.40076715,9.36594331,10.32635511,9.938917072,8.688428121,2.925402243,2.643544464,3.228095069,4.098360656,3.391296856,3.220102474,3.038886662,0,0,0
Violent Offenses per 1000 population,4.032114184,4.617133115,3.675690959,3.524353281,3.381992615,2.56152861,0.9054816466,0.7049451905,0.9932600213,1.766534765,1.09919113,1.083660352,1.078355508,0,0,0
Property Offenses per 1000 population,1.998215879,2.273050149,1.661129568,1.656446042,1.552955793,1.142303299,0.3482621718,0.3877198548,0.3547357219,0.2473148672,0,0,0,0,0,0
Drug Offenses per 1000 population,1.070472792,1.278590709,0.6361772814,0.8106012547,0.7247127032,0.5884592752,0.2089573031,0.2819780762,0.2837885775,0.2473148672,0.2174941856,0.1825303164,0.136752878,0,0,0
Sex Offenses per 1000 population,0.1427297056,0.2486148601,0.1060295469,0.2114611969,0.4141215447,0.3115372633,0,0.1762362976,0.1064207166,0.07066139062,0.244857971,0.2746675827,0.3028543287,0.15837118,0.1897533442,0.2195629559
Other Offenses per 1000 population,3.033006244,2.983378321,3.286915954,4.123493339,3.865134417,4.084599675,1.462701121,1.092665045,1.489890032,1.766534765,1.850672645,1.824956475,1.795348702,0.8591595263,0.8370592178,0.8113430481
Misdemeanors per 1000 population,23.69313113,31.36098878,28.45126175,35.8779164,35.82151361,26.8960504,11.73643519,12.05456276,14.57963817,16.95873375,15.96542372,15.51513454,14.9947017,7.832992908,7.45089873,7.00060955
Status Offenses per 1000 population,0.6422836753,0.2841312686,0.353431823,0.1762176641,0.06902025745,0.1730762574,0.1044786515,0,0.1418942888,0,0,0,0,0,0,0