Humboldt County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,619","1,428","1,464","1,545","1,635","1,514","1,870","1,659","1,238","1,180",1061.277399,931.9539339,799.0074122,1115.351928,989.7937288,860.4702635
Violent Offenses,448,444,481,492,496,486,573,581,557,530,499.2745905,465.3694539,424.2487517,583.159829,556.5443196,522.639183
Property Offenses,277,223,262,264,242,259,356,297,206,196,159.9478998,133.4138297,107.7247781,181.492088,154.1417152,127.6076451
Drug Offenses,293,229,147,134,222,228,212,174,136,89,129.3137043,123.2072732,116.483474,82.76889464,77.27216527,71.16573409
Sex Offenses,22,14,16,39,38,27,26,22,20,35,32.42302042,33.27767002,34.00297362,34.78841057,35.77262982,36.62727942
Other Offenses,579,518,558,616,637,514,703,585,319,330,218.071345,138.1711848,57.70755418,222.930504,143.6695387,63.76937846
Misdemeanor,"6,092","5,491","6,032","5,577","5,469","4,365","4,235","4,117","3,922","4,118",2839.362642,2372.212682,1869.865755,2226.106726,1794.467474,1327.317514
Status Offenses,64,18,17,5,9,9,15,5,3,7,0,0,0,0,0,0
Total Felonies per 1000 population,11.92194404,10.4067221,10.64185506,11.23791651,11.93988433,11.10589478,13.85410956,12.28770563,9.238185495,8.913733192,8.061763293,7.15617276,6.224343757,8.539299766,7.660974645,6.755384112
Violent Offenses per 1000 population,3.298969072,3.23570351,3.496401832,3.578676326,3.622130046,3.565036237,4.245136244,4.303289313,4.156437254,4.003625925,3.805103081,3.588918316,3.322876149,4.442883375,4.277065195,4.06088043
Property Offenses per 1000 population,2.039764359,1.625139376,1.904484989,1.920265346,1.767248934,1.899885567,2.637466846,2.199788169,1.537210187,1.480586191,1.218057477,1.029405447,0.8468815928,1.391441431,1.196871129,1.0082191
Drug Offenses per 1000 population,2.157584683,1.668865099,1.068546922,0.9746801376,1.621195303,1.672486136,1.570626324,1.288764786,1.014857211,0.672306995,0.9654744025,0.9223878871,0.8747260989,0.6321092349,0.593542766,0.5504562505
Sex Offenses per 1000 population,0.1620029455,0.1020266873,0.1163044268,0.2836755624,0.2775018987,0.1980575687,0.1926239832,0.1629472717,0.1492437075,0.2643903913,0.2450057563,0.2528324355,0.2597784411,0.2631948629,0.2719025148,0.2797291939
Other Offenses per 1000 population,4.263622975,3.774987429,4.056116886,4.48061914,4.651808144,3.770429271,5.20825616,4.33291609,2.380437135,2.492823689,1.686231784,1.11341575,0.5366299774,1.749750478,1.181455497,0.6086394633
Misdemeanors per 1000 population,44.86008837,40.01632427,43.84676892,40.56560543,39.93836537,32.01930695,31.37548341,30.4933599,29.26669104,31.10741804,21.89035604,18.63967916,15.12508612,17.64222589,14.65768826,11.40701138
Status Offenses per 1000 population,0.471281296,0.1311771693,0.1235734535,0.03636866185,0.0657241339,0.06601918958,0.1111292211,0.03703347085,0.02238655613,0.05287807826,0,0,0,0,0,0