Imperial County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"2,517","1,798","1,663","1,176","1,243","1,012",994,924,721,659,170.5961382,0,0,0,0,0
Violent Offenses,623,444,478,401,368,399,435,384,311,313,219.1654371,183.706708,148.5215199,158.0065099,122.2862768,86.82754778
Property Offenses,416,290,320,281,249,174,146,138,134,80,0,0,0,0,0,0
Drug Offenses,894,463,259,145,203,117,84,75,84,74,0,0,0,0,0,0
Sex Offenses,29,13,73,28,27,14,11,12,9,12,0,0,0,0,0,0
Other Offenses,555,588,533,321,396,308,318,315,183,180,90.31243699,59.05862356,32.04560116,0,0,0
Misdemeanor,"4,448","5,137","4,471","4,483","4,060","1,886","2,026","2,151","1,996","2,221",821.4920969,408.4216322,0,0,0,0
Status Offenses,7,8,12,3,4,0,0,1,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,14.11689484,10.02229654,9.203455585,6.517835369,6.91604489,5.630668225,5.546689285,5.139986761,3.992579672,3.626378464,0.9139605722,0,0,0,0,0
Violent Offenses per 1000 population,3.49416984,2.474916388,2.645370878,2.222493183,2.047549895,2.219996662,2.427374083,2.136098394,1.722180691,1.722392199,1.200500464,0.9979041889,0.7958711325,0.8548679006,0.6517808955,0.4491846205
Property Offenses per 1000 population,2.33318564,1.616499443,1.770959583,1.557407941,1.385434576,0.9681188449,0.8147048648,0.7676603604,0.7420328377,0.4402280381,0,0,0,0,0,0
Drug Offenses per 1000 population,5.014105678,2.580824972,1.433370413,0.8036446671,1.129490839,0.6509764647,0.4687343058,0.4172067176,0.4651549132,0.4072109353,0,0,0,0,0,0
Sex Offenses per 1000 population,0.1626499605,0.07246376812,0.404000155,0.1551865564,0.1502278456,0.07789461971,0.06138187337,0.06675307481,0.04983802641,0.06603420572,0,0,0,0,0,0
Other Offenses per 1000 population,3.112783726,3.277591973,2.949754556,1.779103022,2.203341735,1.713681634,1.774494158,1.752268214,1.013373204,0.9905130858,0.4943690666,0.3182398594,0.1650235699,0,0,0
Misdemeanors per 1000 population,24.94713876,28.63433668,24.74362593,24.84647616,22.58981678,10.49351805,11.30542504,11.96548866,11.05296675,12.22183091,4.492707293,2.180236424,0,0,0,0
Status Offenses per 1000 population,0.03926033528,0.04459308807,0.06641098438,0.01662713104,0.02225597712,0,0,0.005562756234,0,0,0,0,0,0,0,0