Kern County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"10,168","9,816","9,069","9,767","9,477","9,252","10,961","10,606","9,464","9,301",8828.125032,8400.310587,7919.773192,9249.209092,8874.760868,8446.946422
Violent Offenses,"3,803","3,348","3,194","3,412","3,159","3,206","3,470","3,342","3,042","3,223",2902.480418,2769.765554,2618.762954,2864.046976,2749.771477,2617.056613
Property Offenses,"2,575","2,779","2,556","2,607","2,477","2,428","2,862","3,190","2,541","2,361",2282.848892,2141.611354,1988.254667,2430.716362,2301.80347,2160.565932
Drug Offenses,"1,014",937,684,741,840,774,"1,003",640,607,640,609.6869277,591.4652917,575.6520874,505.9215078,485.2686787,467.0470428
Sex Offenses,162,158,163,129,143,144,183,183,190,185,185.0587818,188.5256847,192.5278967,199.3035792,202.234653,205.7015559
Other Offenses,"2,614","2,594","2,472","2,878","2,858","2,700","3,443","3,251","3,084","2,892",2826.829557,2669.73054,2482.81284,3244.295761,3117.356658,2960.257641
Misdemeanor,"34,074","34,277","27,844","25,552","25,465","17,271","16,513","14,657","15,313","17,674",11447.30084,10185.67241,8887.150106,3277.697898,2051.640617,790.0121835
Status Offenses,650,546,391,70,27,11,1,11,16,6,0,0,0,0,0,0
Total Felonies per 1000 population,11.54576805,11.07898176,10.15555274,10.85107683,10.45841794,10.21052306,12.00834372,11.56228163,10.32459641,10.08206788,9.483196413,8.982906472,8.426345675,9.756593175,9.313245147,8.812955206
Violent Offenses per 1000 population,4.318308014,3.778772508,3.57667168,3.790710981,3.486139313,3.538147097,3.801564886,3.643328795,3.318620274,3.49365711,3.108994044,2.948108405,2.766601129,3.004969301,2.864867429,2.70398179
Property Offenses per 1000 population,2.923913525,3.136561768,2.862233191,2.89636094,2.733512845,2.679544963,3.135469367,3.477623834,2.772062497,2.55926914,2.453473237,2.29215721,2.118396208,2.563821606,2.415163603,2.253847576
Drug Offenses per 1000 population,1.151397404,1.057559689,0.7659497273,0.8232464351,0.9269886113,0.8541877271,1.098838496,0.6977050953,0.6621967477,0.6937451289,0.6557494702,0.6341851117,0.6153532411,0.5234641339,0.4991377901,0.4775734315
Sex Offenses per 1000 population,0.1839510645,0.1783291686,0.1825289555,0.1433182053,0.1578087755,0.1589186469,0.2004859868,0.1995000507,0.2072774004,0.2005357013,0.1990064477,0.2020224662,0.2056076552,0.2117604955,0.2142066605,0.2172226789
Other Offenses per 1000 population,2.96819804,2.927758628,2.76816919,3.19744027,3.153968394,2.979724629,3.771984987,3.544123851,3.364439489,3.134860801,3.036787148,2.853431398,2.637519975,3.443661468,3.293229541,3.109873791
Misdemeanors per 1000 population,38.69104056,38.68727159,31.17997691,28.38811459,28.10210117,19.06030521,18.09084754,15.97853685,16.70546754,19.15820532,12.02079377,10.54012929,9.01895919,2.482187206,1.040486399,0
Status Offenses per 1000 population,0.7380752587,0.6162514306,0.4378455312,0.07776956877,0.02979606251,0.01213961886,0.00109555184,0.01199180633,0.01745493898,0.006503860583,0,0,0,0,0,0