Mendocino County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,207","1,130","1,068","1,063","1,075",993,"1,003",449,418,726,489.6600223,454.6795473,427.5385034,223.8372114,180.9470986,145.9666236
Violent Offenses,409,407,367,381,423,356,302,179,180,295,241.3803078,242.000663,244.3765252,146.8634421,145.6938148,146.3141699
Property Offenses,207,194,208,211,186,158,162,112,78,116,61.53934541,46.85417874,33.39715546,22.77138397,6.856552859,0
Drug Offenses,247,190,113,120,94,124,77,33,38,79,56.92168097,60.85639928,65.51207503,0,0,0
Sex Offenses,16,21,10,8,6,11,16,2,5,12,9.334175733,10.17490649,11.13037298,4.594249087,5.317718292,6.158449049
Other Offenses,328,318,370,343,366,344,446,123,117,224,111.3737432,79.11658939,49.24537288,68.77790871,34.14505178,1.887897956
Misdemeanor,"3,132","2,981","3,158","3,237","3,289","2,302","2,105","1,544","1,600","2,090",1336.786134,1151.831755,964.7835598,753.4315006,570.56189,385.607511
Status Offenses,3,1,4,3,6,2,1,2,6,8,7.366647662,8.127322924,8.868469939,7.980439875,8.760172309,9.520847572
Total Felonies per 1000 population,13.42901647,12.47350759,11.67378972,11.57069773,11.71342958,10.86885138,10.98540026,4.987392671,4.678022249,8.141295206,5.583342936,5.267464792,5.044267847,2.618185956,2.208762407,1.892884263
Violent Offenses per 1000 population,4.550511794,4.492670434,4.011498901,4.147164472,4.609098338,3.896587203,3.307667875,1.988292401,2.014459341,3.308102047,2.728422277,2.753713398,2.798585094,1.683968299,1.689280409,1.71457153
Property Offenses per 1000 population,2.303070761,2.141469445,2.273547061,2.296723631,2.026695723,1.729384208,1.774311907,1.244071223,0.8729323813,1.300813008,0.7098089402,0.5581298502,0.4205063977,0.2786096844,0.11284641,0
Drug Offenses per 1000 population,2.748108589,2.097315436,1.235148163,1.306193534,1.024244075,1.357238239,0.8433457827,0.3665566997,0.4252747499,0.8858985142,0.6382337884,0.6830688367,0.7350874968,0,0,0
Sex Offenses per 1000 population,0.1780151313,0.2318085482,0.1093051472,0.08707956896,0.06537728139,0.1204001664,0.1752406821,0.02221555755,0.05595720393,0.1345668629,0.1050809804,0.1149403263,0.126048503,0.05245442879,0.06103647924,0.07089582516
Other Offenses per 1000 population,3.649310191,3.51024373,4.044290446,3.733536519,3.988014165,3.765241567,4.884834014,1.36625679,1.309398572,2.511914774,1.306210977,0.9776660536,0.677082179,0.8216701465,0.4652434694,0.1366985465
Misdemeanors per 1000 population,34.84646195,32.90577534,34.51856548,35.23457059,35.83764642,25.19647118,23.05510224,17.15041043,17.90630526,23.43706196,15.24615987,13.33196329,11.39182373,8.840386979,6.951933183,5.037736594
Status Offenses per 1000 population,0.03337783712,0.0110385023,0.04372205887,0.03265483836,0.06537728139,0.02189093934,0.01095254263,0.02221555755,0.06714864472,0.08971124194,0.08293178083,0.09166875998,0.1001867298,0.08984508398,0.09879560958,0.1075325887