Modoc County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),139,123,164,180,168,138,125,99,87,112,75.40473366,63.41160865,51.35361908,63.44072187,51.5197972,39.52667219
Violent Offenses,44,38,58,66,53,46,33,40,29,37,23.23471346,18.23697767,13.07091851,20.53494336,15.70967183,10.71193604
Property Offenses,19,17,14,16,19,15,12,10,16,15,15.4304583,15.57464632,15.54729379,13.04496586,13.36018752,13.50437554
Drug Offenses,19,6,8,10,7,6,12,4,5,16,8.037750816,7.961521202,7.886498766,6.904664162,6.826928081,6.750698466
Sex Offenses,1,3,11,8,4,8,4,1,5,4,2.089768021,1.383652768,0.7092025335,2.513686149,1.776602071,1.070486818
Other Offenses,56,59,73,80,85,63,64,44,32,40,25.61509394,18.50703614,11.44741624,19.98537825,12.83348409,5.725426287
Misdemeanor,291,259,249,300,266,247,154,177,176,220,189.013028,183.457764,176.0231808,141.5634218,137.8823396,132.3270755
Status Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,15.41874653,13.82333109,18.6469585,20.59967956,19.13875598,15.90411433,14.46759259,11.47826087,10.15643241,13.19043693,9.122548001,7.835396888,6.545915218,7.980093898,6.696092115,5.408941002
Violent Offenses per 1000 population,4.880754298,4.270622612,6.594656055,7.553215839,6.037821827,5.301371442,3.819444444,4.637681159,3.385477469,4.357555058,2.810869463,2.262568227,1.696174025,2.582085417,2.052351412,1.504050176
Property Offenses per 1000 population,2.107598447,1.910541695,1.59181353,1.831082628,2.164502165,1.728708079,1.388888889,1.15942029,1.867849638,1.766576375,1.839145986,1.871012649,1.884697904,1.594406193,1.644387547,1.67625421
Drug Offenses per 1000 population,2.107598447,0.6743088334,0.9096077317,1.144426642,0.7974481659,0.6914832315,1.388888889,0.4637681159,0.5837030119,1.884348133,0.9780371646,0.9785635297,0.9794871178,0.8722909322,0.8723841136,0.8729104788
Sex Offenses per 1000 population,0.1109262341,0.3371544167,1.250710631,0.9155413138,0.4556846662,0.921977642,0.462962963,0.115942029,0.5837030119,0.4710870333,0.257048481,0.17931378,0.1051442627,0.30981974,0.2285981531,0.1508634521
Other Offenses per 1000 population,6.211869107,6.630703529,8.300170551,9.155413138,9.683299157,7.260573931,7.407407407,5.101449275,3.735699276,4.710870333,3.110269912,2.32308822,1.542741293,2.57166575,1.778181314,0.9909996223
Misdemeanors per 1000 population,32.27953411,29.10766464,28.31154065,34.33279927,30.3030303,28.4660597,17.82407407,20.52173913,20.54634602,25.90978683,22.68775522,22.28175774,21.6855885,17.67646162,17.45990659,17.05390912
Status Offenses per 1000 population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0