Mono County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),97,86,93,80,96,89,75,77,77,92,88.13291682,90.43669592,92.90213156,80.55580617,82.69282916,84.99660826
Violent Offenses,46,51,52,58,61,54,52,43,48,48,48.29969164,47.79317286,47.28654247,47.10043454,46.59403962,46.08752085
Property Offenses,13,12,18,9,13,15,9,20,7,13,11.18567057,10.82946629,10.49362003,11.07264022,10.69630979,10.34010552
Drug Offenses,17,8,4,7,2,6,2,1,2,4,2.075047928,2.113851222,2.102417346,0,0,0
Sex Offenses,1,1,1,0,4,0,1,1,2,3,3.031953172,3.376225787,3.712800744,3.231655098,3.583385331,3.927657946
Other Offenses,20,14,18,6,16,14,11,12,18,24,22.7448026,24.83289766,26.94057332,21.60412372,23.67028209,25.75837714
Misdemeanor,207,227,238,256,232,165,200,219,193,211,160.6964039,143.3883905,124.5214313,164.7774245,149.0492248,131.7412114
Status Offenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,7.246376812,6.400714498,6.949633836,6.006907944,7.25239858,6.729678639,5.654829224,5.898123324,5.830241539,7.081825879,6.798881514,6.99049305,7.191407943,6.290335029,6.472269886,6.663881422
Violent Offenses per 1000 population,3.436426117,3.795772551,3.885816769,4.355008259,4.608294931,4.083175803,3.920681595,3.293757181,3.634436284,3.694865676,3.721218614,3.695654544,3.669553919,3.659482521,3.6344545,3.608890429
Property Offenses per 1000 population,0.9711639026,0.8931229533,1.34509042,0.6757771437,0.982095641,1.134215501,0.6785795069,1.531980084,0.5300219581,1.000692787,0.8693607291,0.846358199,0.8247911458,0.8701724601,0.8457515289,0.8227489988
Drug Offenses per 1000 population,1.269983565,0.5954153022,0.2989089822,0.5256044451,0.1510916371,0.4536862004,0.150795446,0.07659900421,0.1514348452,0.307905473,0.164677791,0.1692548656,0.1701210319,0,0,0
Sex Offenses per 1000 population,0.07470491558,0.07442691277,0.07472724555,0,0.3021832742,0,0.07539772299,0.07659900421,0.1514348452,0.2309291048,0.2329644651,0.259690975,0.2858417727,0.2489083679,0.2761920482,0.3029185581
Other Offenses per 1000 population,1.494098312,1.041976779,1.34509042,0.4505180958,1.208733097,1.058601134,0.8293749529,0.9191880506,1.362913606,1.847432838,1.755680504,1.920785082,2.087459771,1.679672955,1.843025561,2.008130139
Misdemeanors per 1000 population,15.46391753,16.8949092,17.78508444,19.22210542,17.5266299,12.47637051,15.0795446,16.77518192,14.61346256,16.2420137,12.44377726,11.20015468,9.8405858,12.8557088,11.72957733,10.48595475
Status Offenses per 1000 population,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0