Napa County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,338","1,202","1,213","1,230","1,195","1,067","1,081","1,105",615,578,371.5762538,217.4076321,57.39902275,234.2798472,86.06458508,0
Violent Offenses,460,385,397,356,377,349,300,320,228,245,182.9600768,150.1504976,114.8433249,125.8376444,95.5438197,62.73424051
Property Offenses,191,215,253,202,195,203,196,199,156,129,117.9519503,107.3599119,99.10074558,102.040907,89.11517843,78.52314002
Drug Offenses,84,88,79,84,83,58,66,70,38,36,19.22677361,8.281330684,0,8.173517158,0,0
Sex Offenses,21,20,20,14,23,7,9,16,9,21,13.30958233,13.17212367,12.99428969,10.23061873,10.13278517,9.995326512
Other Offenses,582,494,464,574,517,450,510,500,184,147,56.2329419,0,0,0,0,0
Misdemeanor,"4,192","3,318","3,074","3,197","2,914","2,266","2,254","2,326","2,089","1,872",742.5538313,96.31641266,0,391.5030002,0,0
Status Offenses,21,17,7,5,12,10,0,4,13,22,24.35961399,28.72639881,33.04047793,18.1098753,22.52353036,26.89031517
Total Felonies per 1000 population,9.451421952,8.480914415,8.60759853,8.793439951,8.591744735,7.761975776,7.935750519,8.216102073,4.6086748,4.354803469,3.01264781,1.950012731,0.8480054304,2.190435623,1.167989036,0.1053539571
Violent Offenses per 1000 population,3.249367786,2.716432654,2.817161267,2.545093189,2.710533695,2.538828065,2.202335944,2.379323677,1.708581877,1.845894204,1.4417737,1.222423596,0.9851472058,1.086264479,0.8849731242,0.6656230201
Property Offenses per 1000 population,1.349194016,1.516968884,1.795319397,1.444125911,1.402000187,1.476739534,1.438859484,1.479641912,1.169029705,0.9719198053,0.9119764133,0.8399157224,0.7835124648,0.8318684723,0.7441539454,0.6720932545
Drug Offenses per 1000 population,0.5933628131,0.6208988923,0.5605938037,0.6005276064,0.5967487975,0.4219255811,0.4845139078,0.5204770544,0.2847636462,0.271233434,0.157942369,0.08150125061,0.001538742572,0.08927667283,0.01641440588,0
Sex Offenses per 1000 population,0.1483407033,0.1411133846,0.1419224819,0.1000879344,0.1653641246,0.05092205289,0.06607007833,0.1189661839,0.06744402146,0.1582195032,0.1033401468,0.1035841002,0.1035459682,0.08379293379,0.0843132265,0.08455717993
Other Offenses per 1000 population,4.111156634,3.4855006,3.292601581,4.10360531,3.717097932,3.273560543,3.743971105,3.717693246,1.37885555,1.107536522,0.5090764266,0,0,0.1505995826,0,0
Misdemeanors per 1000 population,29.61162991,23.41071051,21.81348547,22.85579473,20.95091561,16.48419598,16.54688406,17.29470898,15.65450676,14.10413857,6.383257243,1.902334175,0,4.290739309,0.5783513244,0
Status Offenses per 1000 population,0.1483407033,0.1199463769,0.04967286868,0.03574569086,0.08627693458,0.07274578984,0,0.02974154597,0.09741914211,0.1657537652,0.1833967432,0.2162475299,0.2487239241,0.140459458,0.1736419448,0.2064927314