Nevada County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),751,653,721,632,618,504,455,367,409,515,354.2912411,333.0262285,313.7597237,224.7398702,201.4497826,180.1847701
Violent Offenses,189,181,215,191,236,185,168,159,159,196,173.7663725,172.9884648,172.4062818,162.4413165,161.4639626,160.6860549
Property Offenses,123,130,182,134,120,92,78,74,63,81,29.97988996,17.59473634,6.090805924,5.634103027,0,0
Drug Offenses,174,107,63,60,34,38,35,18,21,33,0,0,0,0,0,0
Sex Offenses,15,12,11,11,18,11,9,11,14,23,22.0711946,24.1473559,26.15535621,21.4615903,23.60394939,25.68011069
Other Offenses,250,223,250,236,210,178,165,105,152,182,124.434315,116.9359393,110.1230354,81.96001646,73.76790626,66.26953048
Misdemeanor,"2,145","2,043","2,095","2,307","2,166","1,563","1,100","1,163","1,360","1,498",1107.174076,1000.144016,880.1431932,721.812384,627.7614735,520.7314134
Status Offenses,42,52,55,61,94,20,17,2,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,7.505496702,6.494991993,7.119089231,6.221513442,6.057873275,4.928275983,4.396177741,3.58552503,4.006425955,5.039385489,3.423939183,3.204435451,3.002338989,2.099669951,1.862496986,1.642993255
Violent Offenses per 1000 population,1.88886668,1.800296402,2.122890686,1.880235866,2.31336261,1.808990192,1.623204089,1.553401852,1.557510334,1.91790205,1.689754291,1.677843813,1.66683758,1.565683559,1.552834966,1.540924488
Property Offenses per 1000 population,1.229262443,1.293030565,1.79705165,1.319118356,1.176286073,0.8996059335,0.7536304699,0.7229668998,0.6171267363,0.7926023778,0.285291019,0.1628838992,0.04900187148,0.03476886165,0,0
Drug Offenses per 1000 population,1.738956626,1.064263619,0.6220563405,0.5906500103,0.333281054,0.3715763638,0.3381675185,0.1758568135,0.2057089121,0.3229120798,0,0,0,0,0,0
Sex Offenses per 1000 population,0.149910054,0.1193566676,0.1086130118,0.1082858352,0.1764429109,0.107561579,0.08695736191,0.1074680527,0.1371392747,0.2250599344,0.2155092107,0.235785935,0.2553793241,0.208273469,0.2292140023,0.2494907266
Other Offenses per 1000 population,2.498500899,2.218044739,2.468477542,2.323223374,2.058500627,1.740541915,1.594218302,1.025831412,1.488940697,1.780909046,1.206030818,1.132430591,1.06580752,0.7668970103,0.6862309184,0.6126306911
Misdemeanors per 1000 population,21.43713772,20.32047265,20.6858418,22.7104929,21.23196361,15.28352254,10.62812201,11.36230412,13.32210097,14.65825138,10.71963948,9.649941018,8.449960336,6.764458021,5.825095468,4.755397009
Status Offenses per 1000 population,0.4197481511,0.5172122261,0.5430650592,0.6004941772,0.9214240903,0.1955665073,0.1642527947,0.01953964594,0,0,0,0,0,0,0,0