Riverside County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"14,396","15,539","14,604","13,893","14,215","13,945","14,964","14,530","13,853","14,323",15546.14222,16633.61448,18013.71469,14515.17239,15307.98615,16395.45841
Violent Offenses,"5,232","5,742","5,449","5,315","5,224","5,225","5,110","5,034","5,168","5,652",6161.607736,6729.001663,7419.176209,5633.602486,6077.237906,6644.631833
Property Offenses,"3,589","3,939","3,881","3,565","3,517","3,129","3,015","3,179","3,277","3,077",2845.227706,2754.357638,2661.441011,2575.059781,2486.236712,2395.366644
Drug Offenses,"1,820","1,794","1,255","1,321","1,530","1,667","1,524","1,225","1,118","1,188",1368.294186,1425.350176,1490.583702,1071.007988,1119.719902,1176.775892
Sex Offenses,234,199,148,176,211,167,214,206,182,176,173.855111,165.873301,156.0349401,173.0513586,166.9372433,158.9554334
Other Offenses,"3,521","3,865","3,871","3,516","3,733","3,757","5,101","4,886","4,108","4,230",4314.921117,4376.52902,4479.140766,4754.468199,4775.048175,4836.656078
Misdemeanor,"37,888","35,751","33,280","31,557","29,541","25,550","26,999","23,908","24,834","29,192",23834.41261,23629.86943,23555.81921,18781.83284,18445.04787,18240.50469
Status Offenses,326,128,149,131,128,50,73,102,76,99,7.98683615,0,0,0,0,0
Total Felonies per 1000 population,6.233451326,6.650847417,6.176429166,5.817987813,5.914067743,5.751314719,6.0947571,5.85974993,5.533344864,5.661414749,6.076438017,6.480368782,7.006914646,5.457091868,5.737545344,6.141476109
Violent Offenses per 1000 population,2.26544994,2.45763343,2.304530439,2.225768749,2.173414695,2.154938645,2.081275647,2.030143231,2.064269563,2.234051257,2.425698084,2.651088462,2.930086061,2.130688687,2.302045785,2.527436164
Property Offenses per 1000 population,1.554032843,1.685931397,1.641380553,1.492919208,1.463227313,1.290488616,1.227993361,1.282047146,1.308941826,1.216237742,1.096364127,1.048481938,1.000291412,0.9387121709,0.8911324535,0.8432502642
Drug Offenses per 1000 population,0.7880578919,0.7678499431,0.530773665,0.5531967106,0.6365475657,0.6875182242,0.6207170422,0.4940257168,0.4465660548,0.4695776528,0.5369985439,0.5570148457,0.5804558175,0.3940104594,0.4105301588,0.4305464606
Sex Offenses per 1000 population,0.101321729,0.08517399035,0.06259322902,0.07370372526,0.08778531788,0.06887555095,0.08716105449,0.08307697768,0.07269679962,0.06956705968,0.06716976157,0.06306420935,0.05813335369,0.0643335156,0.06105797541,0.05695242318
Other Offenses per 1000 population,1.524588922,1.654258657,1.637151281,1.472399421,1.553092851,1.549493682,2.077609995,1.970456859,1.64087062,1.671981037,1.681522399,1.692656003,1.720680368,1.811695046,1.805925295,1.817058899
Misdemeanors per 1000 population,16.40546012,15.30178557,14.07501798,13.21516169,12.29036055,10.53754687,10.99654818,9.641768846,9.919518252,11.53864549,9.095917752,8.885025935,8.724770989,6.607726723,6.345473937,6.13458212
Status Offenses per 1000 population,0.1411576224,0.05478528022,0.06301615624,0.05485902278,0.05325365256,0.02062142244,0.02973250924,0.04113520254,0.03035690534,0.03913147107,0,0,0,0,0,0