Sacramento County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"13,995","13,207","13,407","13,895","13,117","12,115","12,638","13,607","11,762","11,420",8561.67347,6588.85952,4252.118472,9310.796018,7704.896772,5732.082822
Violent Offenses,"5,503","5,005","5,074","5,084","5,025","4,792","5,169","5,791","5,026","4,843",4146.243294,3609.294634,2967.842849,4542.440532,4110.861381,3573.912721
Property Offenses,"3,040","3,213","3,338","3,142","2,898","2,891","2,547","2,832","2,565","2,611",2446.772346,2411.585937,2389.15974,2187.924255,2139.905055,2104.718645
Drug Offenses,"1,865","1,673","1,109","1,417","1,226","1,110","1,027",853,822,677,483.5698254,331.1101305,154.4943474,139.1593144,10.94619806,0
Sex Offenses,308,302,318,232,237,183,254,260,162,160,87.45159871,58.25634792,30.31445467,57.38219466,26.94785046,0
Other Offenses,"3,279","3,014","3,568","4,020","3,731","3,139","3,641","3,871","3,187","3,129",2382.306728,1887.559494,1323.832709,2826.946096,2401.939471,1907.192237
Misdemeanor,"26,453","23,834","22,528","23,366","22,781","14,909","12,702","13,786","19,844","21,835",17568.76852,17370.13145,17026.31731,13762.17196,13708.02992,13509.39284
Status Offenses,117,102,91,87,78,60,59,61,5,7,0,0,0,0,0,0
Total Felonies per 1000 population,9.283840744,8.64351128,8.665342122,8.89899085,8.322066578,7.635213871,7.954310861,8.564632543,7.376579329,7.087748436,5.038873359,3.653767744,2.015219344,5.404282527,4.274657211,2.889551596
Violent Offenses per 1000 population,3.6505163,3.275594303,3.279476835,3.256025152,3.188105859,3.020053229,3.253349647,3.645019994,3.152073432,3.005776329,2.536190927,2.192718498,1.786833666,2.704103893,2.423559556,2.080087127
Property Offenses per 1000 population,2.016639933,2.102794105,2.157448497,2.012279903,1.838632991,1.821989542,1.603072461,1.782541292,1.608648697,1.620500102,1.482751222,1.445272798,1.414783368,1.282282761,1.23777493,1.200296505
Drug Offenses per 1000 population,1.237182064,1.094918935,0.7167796236,0.9075113375,0.7778343847,0.6995532313,0.6463900344,0.5369024443,0.5155201674,0.4201756297,0.2817456197,0.179930718,0.0622945248,0.0428578251,0,0
Sex Offenses per 1000 population,0.2043174669,0.1976482476,0.2055328407,0.1485833665,0.1503643957,0.1153317489,0.1598666687,0.1636513898,0.1015988651,0.09930295532,0.04962307511,0.02965798428,0.01032817133,0.02728221666,0.006691581585,0
Other Offenses per 1000 population,2.17518498,1.97255569,2.306104325,2.574591092,2.367128947,1.97828612,2.29163205,2.436517423,1.998738167,1.94199342,1.403295662,1.052582478,0.6520289753,1.660715518,1.360366865,1.009653682
Misdemeanors per 1000 population,17.54808426,15.59850442,14.5605152,14.96465061,14.45338101,9.396071284,7.994592227,8.67730023,12.44523382,13.55175018,10.5772993,10.32784926,9.978562744,7.877619698,7.727616861,7.478166818
Status Offenses per 1000 population,0.07761410268,0.06675536841,0.05881600157,0.05571876243,0.04948701632,0.03781368818,0.03713438367,0.03839513376,0.003135767441,0.004344504295,0,0,0,0,0,0