San Joaquin County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"6,572","6,113","7,088","7,065","7,103","7,135","7,272","6,492","5,871","5,880",5631.125546,5440.723821,5279.77888,5631.943112,5412.180863,5221.779137
Violent Offenses,"2,559","2,576","2,885","3,039","2,904","2,950","2,787","2,538","2,346","2,526",2441.333002,2416.44876,2405.605828,2381.140542,2342.184593,2317.300351
Property Offenses,"1,264","1,231","1,527","1,301","1,250","1,012","1,205","1,362","1,504","1,388",1176.485384,1109.742233,1036.032857,1283.267411,1223.598683,1156.855532
Drug Offenses,638,500,526,501,538,470,586,464,282,252,151.6146464,80.69362033,9.203758088,102.8685097,32.56698473,0
Sex Offenses,149,132,125,140,180,191,224,120,104,90,102.4338577,93.06984647,84.16447302,101.3567058,91.54094949,82.17693822
Other Offenses,"1,962","1,674","2,025","2,084","2,231","2,512","2,470","2,008","1,635","1,624",1672.925758,1589.36036,1511.813071,1726.606118,1637.098543,1553.533145
Misdemeanor,"14,435","14,026","14,852","14,031","13,097","10,735","10,394","7,904","7,563","8,151",5368.993681,4579.117956,3873.991015,2635.174185,1760.211297,970.3355723
Status Offenses,42,12,7,5,2,0,0,0,0,0,0,0,0,0,0,0
Total Felonies per 1000 population,9.02354332,8.257675126,9.423977961,9.263799981,9.190717414,9.139514984,9.227302258,8.157008594,7.2849416,7.204928759,6.658480294,6.319246486,6.018213848,6.353213924,5.975893826,5.636660018
Violent Offenses per 1000 population,3.513579938,3.479759713,3.835803671,3.984810777,3.757545174,3.778776343,3.536371204,3.188922953,2.910998636,3.095178579,2.908224001,2.845357126,2.802944548,2.69957789,2.616200612,2.553333737
Property Offenses per 1000 population,1.735508027,1.662882068,2.030250331,1.70590287,1.617400643,1.296312427,1.529001543,1.711313263,1.866215665,1.700755292,1.376735908,1.267417642,1.149102168,1.452744106,1.352564889,1.243246623
Drug Offenses per 1000 population,0.8759921847,0.6754191989,0.6993527663,0.6569233957,0.6961292368,0.6020423325,0.7435642358,0.5830024627,0.3499154371,0.3087826611,0.1618383544,0.06441149179,0,0.07604261941,0,0
Sex Offenses per 1000 population,0.2045812469,0.1783106685,0.1661959996,0.183571408,0.2329056926,0.2446597564,0.2842293325,0.150776499,0.1290468279,0.1102795218,0.1216514221,0.1079893739,0.09486542138,0.1137057814,0.0995140843,0.08585203615
Other Offenses per 1000 population,2.693881922,2.261303478,2.692375193,2.73259153,2.886736668,3.217724126,3.134135943,2.522993416,2.028765034,1.989932705,1.985862775,1.850764153,1.723055293,1.967058514,1.824666849,1.689568226
Misdemeanors per 1000 population,19.81966644,18.94685937,19.74674389,18.39778875,16.94647698,13.75090306,13.18874858,9.931145399,9.384434223,9.987648694,6.04449876,4.910827722,3.895284091,1.910523616,0.6581836948,0
Status Offenses per 1000 population,0.05766719711,0.01621006077,0.009306975977,0.006556121713,0.002587841029,0,0,0,0,0,0,0,0,0,0,0