Santa Cruz County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"2,325","2,237","2,321","2,303","2,159","1,867","2,009","1,848","1,924","1,557",1102.145936,777.0129861,406.0102664,1083.338264,804.4700248,479.3370745
Violent Offenses,798,653,750,773,756,670,716,677,747,639,489.133632,379.2572671,249.0560056,547.5632065,458.1759714,348.2996065
Property Offenses,439,532,523,547,453,387,369,327,312,274,201.8516694,165.4831236,129.9887587,128.7480541,91.51410541,55.14555953
Drug Offenses,392,267,250,174,180,159,179,146,150,185,108.8162894,97.57110907,86.20508407,41.13141441,29.99622476,18.75104445
Sex Offenses,41,39,39,39,40,29,33,39,35,20,16.06713562,10.0914653,3.48557307,15.69993904,10.36132391,4.385653592
Other Offenses,655,746,759,770,730,622,712,659,680,439,400.88912,324.3658492,243.5692577,400.9384399,328.7681566,252.2448858
Misdemeanor,"8,811","8,959","8,792","8,594","8,268","7,301","6,463","6,766","6,938","6,413",5330.979261,4697.572009,3970.402065,4570.95272,4031.873217,3398.465965
Status Offenses,26,21,17,10,11,14,5,3,4,2,0.9367395585,0.6333801816,0.4706527141,0,0,0
Total Felonies per 1000 population,8.500354638,8.149243727,8.443162348,8.41281612,7.911032941,6.869830149,7.700150247,6.951262173,7.296197559,5.933553349,4.35374855,3.216764628,1.922229732,4.404161631,3.426130639,2.289146716
Violent Offenses per 1000 population,2.917541076,2.37883601,2.728294598,2.823754607,2.770144004,2.465338082,2.744304418,2.546539227,2.832775248,2.435157733,1.929934311,1.558234423,1.118146301,2.180694006,1.877951962,1.506252074
Property Offenses per 1000 population,1.605013198,1.938040976,1.902530766,1.998180815,1.659887875,1.424008713,1.414313311,1.2300123,1.183167172,1.044183441,0.7891224627,0.661678843,0.5383354419,0.5465005958,0.4149892365,0.2875456169
Drug Offenses per 1000 population,1.433178072,0.972663422,0.9094315325,0.6356187603,0.6595580961,0.5850578435,0.6860761046,0.5491798037,0.568830371,0.705014367,0.4256046444,0.3870702167,0.3483018661,0.1905109232,0.1521716924,0.1136372647
Sex Offenses per 1000 population,0.149898727,0.1420744324,0.1418713191,0.1424662738,0.1465684658,0.1067086633,0.1264833042,0.1466987147,0.1327270866,0.07621776941,0.06319237741,0.04171096152,0.01800582731,0.06422854203,0.04499601958,0.02351460368
Other Offenses per 1000 population,2.394723565,2.717628887,2.761034133,2.812795663,2.674874501,2.288716847,2.728973109,2.478832128,2.578697682,1.672980039,1.551251181,1.272590064,0.9777669738,1.602326733,1.340134185,1.061473067
Misdemeanors per 1000 population,32.21360203,32.63704718,31.98288814,31.39372199,30.29570188,26.86482588,24.77156349,25.45034625,26.31030076,24.43922776,20.43070178,18.06196517,15.31714917,18.28060489,16.29032446,13.92158786
Status Offenses per 1000 population,0.09505772929,0.07650161746,0.06184134421,0.03652981381,0.04030632809,0.0515145271,0.019164137,0.01128451651,0.01516880989,0.007621776941,0.003914936818,0.002813503678,0.002225252927,0,0,0