Solano County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"4,373","4,323","4,480","4,239","3,787","3,904","3,921","3,647","3,207","3,077",3095.74399,3236.641848,3479.414879,2418.2196,2456.697856,2597.595715
Violent Offenses,"1,599","1,592","1,616","1,496","1,279","1,272","1,242","1,219","1,209","1,247",1099.106467,1098.415942,1111.754764,905.7129141,890.9001813,890.2096566
Property Offenses,"1,051",964,"1,125","1,024",805,905,760,836,780,702,567.5837841,507.3387336,447.5921202,471.6294294,410.9108315,350.665781
Drug Offenses,566,510,392,484,304,310,255,164,96,129,8.687783573,0,0,0,0,0
Sex Offenses,79,65,79,75,66,49,64,44,35,30,5.092537424,0,0,0,0,0
Other Offenses,"1,078","1,192","1,268","1,160","1,333","1,368","1,600","1,384","1,087",969,1030.291943,980.9260883,939.8320387,1103.229575,1045.638162,996.2723067
Misdemeanor,"10,326","10,694","10,413","10,559","8,549","7,258","6,619","6,122","5,931","6,283",4187.707071,3582.386324,2985.858369,2274.609058,1660.441896,1055.121149
Status Offenses,35,52,35,18,13,3,5,4,5,2,0,0,0,0,0,0
Total Felonies per 1000 population,10.01669831,9.766467783,10.00080364,9.400176073,8.358716285,8.620251851,8.697503876,8.109418221,7.109918858,6.761136539,6.746445998,6.990111267,7.441667448,5.299471521,5.334150471,5.57781574
Violent Offenses per 1000 population,3.662634486,3.596626581,3.60743274,3.317448315,2.823025648,2.808647632,2.754985926,2.71055136,2.680352946,2.74005111,2.370823315,2.344604347,2.345038103,1.917584052,1.864531457,1.83831249
Property Offenses per 1000 population,2.407397651,2.177856799,2.51136252,2.270766761,1.776806604,1.998290964,1.685820695,1.858917914,1.729259965,1.542514738,1.224024303,1.079892231,0.9353759413,0.9925294129,0.8488439621,0.7047118896
Drug Offenses per 1000 population,1.296467241,1.152185651,0.8750703182,1.073292102,0.6709928045,0.6844974574,0.565637207,0.3646681076,0.2128319957,0.2834535631,0.008298685934,0,0,0,0,0
Sex Offenses per 1000 population,0.180955675,0.1468471908,0.176353457,0.1663159249,0.1456760694,0.1081947594,0.141963848,0.09783778495,0.07759499845,0.06591943327,0.008773489018,0,0,0,0,0
Other Offenses per 1000 population,2.469243262,2.692951561,2.830584601,2.572352971,2.942215159,3.020621038,3.5490962,3.077443054,2.409878952,2.129197695,2.257524359,2.148884522,2.060218826,2.385880762,2.25735426,2.148714423
Misdemeanors per 1000 population,23.65251013,24.15975167,23.24517149,23.41506467,18.86946541,16.02607273,14.68216734,13.61279362,13.14902674,13.80572664,9.00929654,7.602988954,6.209513981,4.539146114,3.119893107,1.713585522
Status Offenses per 1000 population,0.08017023577,0.1174777527,0.07813127841,0.03991582197,0.02869377124,0.006624168943,0.01109092563,0.008894344087,0.01108499978,0.004394628885,0,0,0,0,0,0