Stanislaus County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"7,455","7,542","6,919","6,467","5,718","5,744","4,746","5,457","5,733","5,859",5346.973881,5326.106293,5299.127042,4373.640291,4358.613058,4337.74547
Violent Offenses,"2,361","2,504","2,284","2,349","2,380","2,344","1,817","2,222","2,263","2,368",2355.449436,2336.748348,2291.019693,2246.660325,2255.036576,2236.335488
Property Offenses,"1,603","1,581","1,366","1,255","1,086",972,690,972,"1,216","1,263",1119.489212,1140.265406,1155.484922,854.530073,880.773672,901.5498666
Drug Offenses,"1,625","1,607","1,364",884,314,461,381,405,342,350,0,0,0,0,0,0
Sex Offenses,133,163,124,133,125,109,134,140,139,170,163.7869553,171.561323,179.6924114,161.3848612,168.7936472,176.5680149
Other Offenses,"1,733","1,687","1,781","1,846","1,813","1,858","1,724","1,718","1,773","1,708",1677.148805,1621.86973,1553.709285,1713.06786,1670.761129,1615.482054
Misdemeanor,"13,832","14,397","13,968","14,008","14,008","14,382","11,720","8,634","10,593","12,121",12155.16559,12727.90805,13428.008,9835.83977,10279.6537,10852.39616
Status Offenses,33,67,166,34,9,6,1,3,2,4,0,0,0,0,0,0
Total Felonies per 1000 population,13.95393237,13.95273977,12.66531819,11.76021313,10.35758859,10.3736613,8.583225274,9.87853225,10.34985133,10.51937979,9.475245596,9.384533998,9.276751078,7.563746013,7.489630039,7.398918441
Violent Offenses per 1000 population,4.419213189,4.632413202,4.180891277,4.271646921,4.311133411,4.233262899,3.286076764,4.022374685,4.085420123,4.251560222,4.161802587,4.089337594,3.961208699,3.931376052,3.914706444,3.842241451
Property Offenses per 1000 population,3.000423017,2.924858336,2.50048051,2.282212382,1.967181044,1.755431544,1.247877252,1.759562644,2.195258891,2.26761848,1.981354054,2.009553047,2.027106887,1.466449029,1.505130703,1.533329696
Drug Offenses per 1000 population,3.041601623,2.972958473,2.496819484,1.607550395,0.5687797862,0.8325657835,0.6890452654,0.7331511015,0.617416563,0.6283978369,0,0,0,0,0,0
Sex Offenses per 1000 population,0.2489433944,0.3015508594,0.2269835895,0.2418599576,0.2264250741,0.1968539488,0.2423413794,0.2534349487,0.2509383107,0.3052218065,0.2922848883,0.3053412663,0.3189371681,0.2849219162,0.2974229734,0.3104793513
Other Offenses per 1000 population,3.243751146,3.120958895,3.260143329,3.356943472,3.284069275,3.355547128,3.117884613,3.11000887,3.200817445,3.066581444,2.920630643,2.772026905,2.591120304,2.952767826,2.836686579,2.688082841
Misdemeanors per 1000 population,25.89011302,26.63452591,25.56860304,25.47349088,25.37409951,25.97388525,21.19582811,15.62969533,19.12366565,21.7623148,21.74523863,22.82242903,24.15789795,17.12429259,17.9401234,19.0173138
Status Offenses per 1000 population,0.06176790989,0.1239503533,0.3038651278,0.06182886135,0.01630260534,0.01083599718,0.001808517757,0.0054307489,0.003610623176,0.007181689564,0,0,0,0,0,0