Tuolumne County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),661,788,797,732,813,657,705,576,459,524,442.3413081,414.1394995,391.507791,360.2297163,326.4442219,298.2424133
Violent Offenses,154,183,184,203,193,197,229,205,186,244,249.4882768,267.7674021,289.7184436,259.7940578,274.3789285,292.6580538
Property Offenses,151,149,123,122,125,92,73,83,32,47,18.18409184,4.673808433,0,0,0,0
Drug Offenses,62,116,100,87,108,43,44,28,23,27,3.973723056,0,0,0,0,0
Sex Offenses,7,12,6,9,17,10,15,7,5,1,3.668665034,2.562271582,1.451597718,2.733798975,1.632408845,0.5260153931
Other Offenses,287,328,384,311,370,315,344,253,213,205,169.9654651,148.8205177,130.4661371,144.0400942,120.1087453,98.96379785
Misdemeanor,"1,629","1,675","1,980","2,019","2,122","1,814","1,651","1,584","1,433","1,383",1235.359075,1115.51098,990.9542169,1180.53413,1065.497224,945.6491291
Status Offenses,39,32,24,12,7,14,4,3,0,2,0,0,0,0,0,0
Total Felonies per 1000 population,12.19827268,14.47731031,14.55255902,13.26687812,14.69445298,11.85984801,12.78888365,10.67635447,8.480682889,9.722969588,8.244432534,7.781387465,7.425676272,6.72749894,6.156805893,5.693760823
Violent Offenses per 1000 population,2.841957629,3.36211648,3.359687403,3.679202537,3.488351076,3.55614925,4.154119653,3.799744212,3.436616596,4.527489655,4.631239937,4.987371936,5.413258593,4.81751218,5.103454788,5.459586787
Property Offenses per 1000 population,2.786594818,2.737460959,2.245877992,2.211146353,2.259294739,1.660739751,1.324239016,1.538433023,0.5912458659,0.8720984172,0.3313158794,0.08153582975,0,0,0,0
Drug Offenses per 1000 population,1.14416476,2.131177659,1.825917067,1.576801087,1.952030654,0.7762153185,0.7981714617,0.5189894534,0.4249579661,0.5009927078,0.07690466509,0,0,0,0,0
Sex Offenses per 1000 population,0.1291798922,0.2204666544,0.109555024,0.1631173539,0.3072640844,0.1805151904,0.2721039074,0.1297473633,0.09238216655,0.01855528547,0.06708849785,0.0469867374,0.02679911978,0.04982897261,0.02982613823,0.009724377778
Other Offenses per 1000 population,5.296375581,6.026088554,7.011521537,5.636610784,6.687512426,5.686228496,6.24024961,4.689440418,3.935480295,3.803833522,3.18806435,2.836392712,2.541476337,2.699894915,2.291493683,1.939822044
Misdemeanors per 1000 population,30.06200635,30.77347051,36.15315792,36.59265972,38.35378748,32.74545553,29.94957008,29.35997479,26.47672893,25.66195981,22.73813566,20.52737639,18.20989559,21.81164309,19.70957271,17.49881343
Status Offenses per 1000 population,0.7197165424,0.5879110784,0.438220096,0.2174898052,0.1265205054,0.2527212665,0.07256104198,0.05560601286,0,0.03711057095,0,0,0,0,0,0