Yuba County,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Total Felonies (all non-bold offenses),"1,115","1,220","1,209","1,013",947,730,893,883,904,843,645.2787972,589.7178766,536.2826766,539.3209641,481.6458514,426.0849309
Violent Offenses,454,491,464,391,366,311,355,327,349,301,249.8580621,234.0224348,220.3551237,190.4019248,172.3880835,156.5524562
Property Offenses,197,195,237,188,185,134,181,144,153,127,80.48382022,63.46518512,47.82164073,65.12070385,46.73382321,29.71518812
Drug Offenses,194,154,121,164,157,104,112,146,96,75,49.06123002,26.01980312,0.04546983276,31.57447595,11.48867745,0
Sex Offenses,29,33,30,13,19,21,27,25,21,28,23.99903453,24.7054379,25.59842841,21.65035421,22.16830464,22.87470801
Other Offenses,241,347,357,257,220,160,218,241,285,312,239.5735724,237.4749453,236.2713385,229.5767979,226.579466,224.4808389
Misdemeanor,"2,327","2,205","1,906","1,942","2,226","1,761","1,767","1,438","2,150","2,495",2391.86512,2513.891249,2632.32842,2194.564697,2320.009575,2442.035704
Status Offenses,1,1,0,0,0,0,0,0,0,0,0.03835501275,0.08529328679,0.1308047596,0,0,0
Total Felonies per 1000 population,14.8728141,16.04671963,15.52787054,12.84212928,11.80974709,8.902330459,10.75450111,10.47014881,10.5490402,9.637700214,6.77888135,5.919038624,5.088179558,4.788277975,3.899536497,3.039693771
Violent Offenses per 1000 population,6.055836412,6.458146998,5.959414333,4.956833712,4.564273956,3.792636675,4.275305594,3.877393727,4.072582998,3.441219175,2.642671413,2.383016127,2.15088993,1.639768815,1.352436446,1.092781159
Property Offenses per 1000 population,2.627752804,2.564844531,3.043924994,2.383336925,2.307078366,1.634126413,2.179803697,1.707476137,1.785401715,1.451942974,0.7923594483,0.5512982684,0.3274785392,0.4887608155,0.2305353374,0
Drug Offenses per 1000 population,2.587736264,2.025569527,1.55407141,2.079081148,1.957898937,1.268277216,1.348828807,1.731191083,1.120252057,0.8574466382,0.4503713867,0.1275716702,0,0.1547161508,0,0
Sex Offenses per 1000 population,0.386826555,0.4340506129,0.3853069612,0.1648052129,0.2369431835,0.2560944379,0.3251640874,0.2964368293,0.2450551374,0.3201134116,0.2635523743,0.2679541043,0.2748158317,0.2156907605,0.2176072272,0.2220089571
Other Offenses per 1000 population,3.21466206,4.56410796,4.585152838,3.258072286,2.743552651,1.951195717,2.625398928,2.857651035,3.325748293,3.566978015,2.565276961,2.4799563,2.406825232,2.255164814,2.157603429,2.072282768
Misdemeanors per 1000 population,31.03949633,29.00247277,24.4798356,24.61936334,27.75976455,21.47534786,21.28018306,17.05104642,25.08897835,28.5243915,26.42328543,27.36155853,28.23469385,22.70426101,23.70574337,24.64401647
Status Offenses per 1000 population,0.01333884672,0.01315304888,0,0,0,0,0,0,0,0,0.0004858331332,0.001098049857,0.001690646532,0,0,0